,pid,word,simplicity,complexity,gid,sentence,category,complex_annotation_count,complex_annotators,label
3316,eigcwhteigenp1,अकेला,5,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3317,eigcwhteigenp1,अक्षित,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3318,eigcwhteigenp1,अक्स,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3319,eigcwhteigenp1,अग,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3320,eigcwhteigenp1,अघ्रिप,2,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3321,eigcwhteigenp1,अचार,5,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3322,eigcwhteigenp1,अंजल,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3323,eigcwhteigenp1,अंजलि,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3324,eigcwhteigenp1,अंजलिपुट,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3325,eigcwhteigenp1,अँजली,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3326,eigcwhteigenp1,अंजली,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3327,eigcwhteigenp1,अँजुरी,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3328,eigcwhteigenp1,अंजुरी,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3329,eigcwhteigenp1,अंजुल,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3330,eigcwhteigenp1,अंजुली,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3331,eigcwhteigenp1,अजोड़,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3332,eigcwhteigenp1,अञ्जलि,1,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3333,eigcwhteigenp1,अंडजा,2,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3334,eigcwhteigenp1,अण्डजा,2,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3335,eigcwhteigenp1,अतुल,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3336,eigcwhteigenp1,अतुलनीय,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3337,eigcwhteigenp1,अतुलित,2,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3338,eigcwhteigenp1,अद्वितीय,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3339,eigcwhteigenp1,अद्वैत,1,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3340,eigcwhteigenp1,अंध,5,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3341,eigcwhteigenp1,अध्यापक,5,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3342,eigcwhteigenp1,अनंद,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3343,eigcwhteigenp1,अनन्द,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3344,eigcwhteigenp1,अनन्यसाधारण,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3345,eigcwhteigenp1,अनायत,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3346,eigcwhteigenp1,अनुकरण,5,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3347,eigcwhteigenp1,अनुक्रम,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3348,eigcwhteigenp1,अनुक्रमणिका,1,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3349,eigcwhteigenp1,अनुक्रिया,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3350,eigcwhteigenp1,अनुगति,4,0,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3351,eigcwhteigenp1,अनुगम,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3352,eigcwhteigenp1,अनुगमन,3,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
3353,eigcwhteigenp1,अनुत्तम,1,1,18,"सुखदा ने जैसे आहत होकर कहा - नहीं  ,   हमें रिश्वत देना मंजूर नहीं  । 
",old stories,0,,
