,pid,word,simplicity,complexity,gid,sentence,category,complex_annotation_count,complex_annotators,label
43138,tcweignp2,अखेट,2,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43139,tcweignp2,अख्तियार,1,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43140,tcweignp2,अख़्तियार,1,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43141,tcweignp2,अग,2,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43142,tcweignp2,अगम,2,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43143,tcweignp2,अगम्य,2,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43144,tcweignp2,अघ्रिप,1,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43145,tcweignp2,अच्युत,3,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43146,tcweignp2,अजादी,4,0,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43147,tcweignp2,अज्ञेय,2,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43148,tcweignp2,अटकर,2,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43149,tcweignp2,अटकल,1,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43150,tcweignp2,अड़सट्टा,1,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43151,tcweignp2,अंतर्गत,3,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43152,tcweignp2,अंतर्भावित,1,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43153,tcweignp2,अंतर्भूत,1,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
43154,tcweignp2,अतिकाल,2,1,10,"लेकिन इसके बंद होने के पीछे न आर्थिक कारण थे न अन्य दूसरी तरह की प्रकाशकीय समस्याएँ ।
",vimarsh,0,,
