,pid,word,simplicity,complexity,gid,sentence,category,complex_annotation_count,complex_annotators,label
17404,focwurteigenp1,अक्स,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17405,focwurteigenp1,अंग,5,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17406,focwurteigenp1,अगत,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17407,focwurteigenp1,अगुवा,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17408,focwurteigenp1,अधिगमन,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17409,focwurteigenp1,अधिप्रमाणित,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17410,focwurteigenp1,अधिष्ठाता,5,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17411,focwurteigenp1,अधीती,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17412,focwurteigenp1,अध्\u200dययन,1,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17413,focwurteigenp1,अध्ययन,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17414,focwurteigenp1,अनमोल,5,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17415,focwurteigenp1,अनुभाव,2,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17416,focwurteigenp1,अपसर्ग,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17417,focwurteigenp1,अपैशुन,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17418,focwurteigenp1,अप्राप्तकाल,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17419,focwurteigenp1,अबोध,2,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17420,focwurteigenp1,अभ्युपगत,2,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17421,focwurteigenp1,अमति,5,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17422,focwurteigenp1,अमल,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17423,focwurteigenp1,अमूल्य,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17424,focwurteigenp1,अरबीला,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17425,focwurteigenp1,अर्थपूर्ण,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17426,focwurteigenp1,अलमिया,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17427,focwurteigenp1,अवक्र,1,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17428,focwurteigenp1,अवयव,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17429,focwurteigenp1,अवर्तमान,1,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17430,focwurteigenp1,अवर्त्तमान,1,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17431,focwurteigenp1,अशील,5,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17432,focwurteigenp1,असज्जन,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17433,focwurteigenp1,असज्जन,4,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17434,focwurteigenp1,असंत,3,1,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
17435,focwurteigenp1,असंत,5,0,14,"मगर तुम इतनी रियासत पर भी खुश नहीं होते तो हरि इच्छा   । 
",old stories,0,,
