id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
517,वरिष्ठ,6,3,53,17.666666666666668,4,2,82,27.333333333333332,19,6.333333333333333,1,2,1
518,नारंगी,6,3,22,7.333333333333333,3,3,46,15.333333333333334,0,0.0,0,3,0
519,कमला,4,4,66,16.5,3,1,53,13.25,5,1.25,0,2,0
520,नागरंग,6,2,20,10.0,4,2,40,20.0,0,0.0,0,3,0
521,मधुराम्लरस,10,1,13,13.0,7,3,37,37.0,0,0.0,1,5,0
522,विशाखज,6,1,13,13.0,4,2,37,37.0,0,0.0,0,3,0
523,नार्यंग,7,1,13,13.0,4,3,37,37.0,0,0.0,1,2,0
524,नरंग,4,1,13,13.0,3,1,37,37.0,0,0.0,0,2,0
525,नागर,4,7,104,14.857142857142858,3,1,101,14.428571428571429,0,0.0,0,2,0
526,त्वग्गंध,8,1,13,13.0,5,3,37,37.0,0,0.0,2,3,0
527,त्वग्गन्ध,9,1,13,13.0,6,3,37,37.0,0,0.0,3,3,0
528,नागरुक,6,2,20,10.0,4,2,40,20.0,0,0.0,0,3,0
529,तीतर,4,2,29,14.5,3,1,60,30.0,18,9.0,0,2,0
530,तितिर,5,2,29,14.5,3,2,60,30.0,18,9.0,0,2,0
531,तितर,4,1,17,17.0,3,1,43,43.0,18,18.0,0,2,1
532,तित्तिर,7,2,29,14.5,4,3,60,30.0,18,9.0,1,2,0
533,तित्तिरि,8,2,19,9.5,4,4,47,23.5,18,9.0,1,3,0
534,तैतिर,5,1,17,17.0,3,2,43,43.0,18,18.0,0,2,0
535,तैत्तिर,7,1,17,17.0,4,3,43,43.0,18,18.0,1,2,0
536,कपिंजल,6,3,53,17.666666666666668,4,2,90,30.0,45,15.0,0,3,1
537,कपिञ्जल,7,4,85,21.25,5,2,133,33.25,72,18.0,1,3,0
538,वातचटक,6,1,17,17.0,5,1,43,43.0,18,18.0,0,4,0
539,अर्धपारावत,10,1,17,17.0,6,4,43,43.0,18,18.0,1,5,0
540,अर्द्धपारावत,12,1,17,17.0,7,5,43,43.0,18,18.0,2,5,0
541,अल्पवर्तक,9,1,17,17.0,6,3,43,43.0,18,18.0,2,4,0
542,शंकरप्रिय,9,2,45,22.5,6,3,45,22.5,23,11.5,1,5,1
543,लघुमांस,7,1,17,17.0,4,3,43,43.0,18,18.0,0,3,0
544,चित्रपक्ष,9,2,21,10.5,6,3,60,30.0,18,9.0,2,3,0
545,ताँबा,5,1,23,23.0,2,3,2,2.0,1,1.0,0,2,1
546,तांबा,5,1,23,23.0,2,3,2,2.0,1,1.0,0,2,1
547,अंबक,4,2,50,25.0,2,2,11,5.5,9,4.5,0,2,0
548,अम्बक,5,2,50,25.0,3,2,11,5.5,9,4.5,1,2,0
549,ताम्र,5,1,23,23.0,3,2,2,2.0,1,1.0,1,2,0
550,तामा,4,1,23,23.0,2,2,2,2.0,1,1.0,0,2,0
551,शाबर,4,4,94,23.5,3,1,72,18.0,46,11.5,0,2,0
552,सर्वधातुक,9,1,23,23.0,6,3,2,2.0,1,1.0,1,4,0
553,मुनिपित्तल,10,1,23,23.0,6,4,2,2.0,1,1.0,1,4,0
554,अरविन्द,7,4,141,35.25,4,3,65,16.25,81,20.25,1,3,0
555,अरविंद,6,4,141,35.25,3,3,65,16.25,81,20.25,0,3,0
556,अरविन्ददलप्रभ,13,1,23,23.0,9,4,2,2.0,1,1.0,2,7,0
557,अरविंददलप्रभ,12,1,23,23.0,8,4,2,2.0,1,1.0,1,7,0
558,रक्तधातु,8,1,23,23.0,5,3,2,2.0,1,1.0,1,4,0
559,रक्त,4,9,167,18.555555555555557,3,1,81,9.0,1,0.1111111111111111,1,1,1
560,रविप्रिय,8,5,114,22.8,5,3,109,21.8,9,1.8,1,4,0
561,रविलौह,6,1,23,23.0,4,2,2,2.0,1,1.0,0,3,0
562,ताम्रक,6,1,23,23.0,4,2,2,2.0,1,1.0,1,2,0
563,रविसंज्ञक,9,1,23,23.0,6,3,2,2.0,1,1.0,1,4,0
564,ताम्रधातु,9,1,23,23.0,5,4,2,2.0,1,1.0,1,4,0
565,कॉपर,4,1,23,23.0,3,1,2,2.0,1,1.0,0,2,1
566,कापर,4,1,23,23.0,3,1,2,2.0,1,1.0,0,2,0
