id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
8341,इंडिया,6,1,14,14.0,2,4,2,2.0,0,0.0,0,3,0
8342,भारत,4,8,140,17.5,3,1,99,12.375,70,8.75,0,2,0
8343,हिंदुस्तान,10,1,14,14.0,5,5,2,2.0,0,0.0,1,3,0
8344,हिन्दुस्तान,11,1,14,14.0,6,5,2,2.0,0,0.0,2,3,0
8345,हिंदोस्ताँ,10,1,14,14.0,4,6,2,2.0,0,0.0,1,3,0
8346,हिंद,4,1,14,14.0,2,2,2,2.0,0,0.0,0,1,0
8347,हिंदोस्तान,10,1,14,14.0,5,5,2,2.0,0,0.0,1,3,0
8348,भारतवर्ष,8,1,14,14.0,6,2,2,2.0,0,0.0,1,4,0
8349,हिन्दोस्तान,11,1,14,14.0,6,5,2,2.0,0,0.0,2,3,0
8350,हिन्द,5,1,14,14.0,3,2,2,2.0,0,0.0,1,1,0
8351,इण्डिया,7,1,14,14.0,3,4,2,2.0,0,0.0,1,3,0
8352,नरभू,4,1,14,14.0,3,1,2,2.0,0,0.0,0,2,0
