id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
12162,लिप्त,5,1,27,27.0,3,2,0,0.0,0,0.0,1,1,0
12163,तल्लीन,6,1,27,27.0,4,2,0,0.0,0,0.0,1,2,0
12164,मग्न,4,2,31,15.5,3,1,0,0.0,0,0.0,1,1,0
12165,मगन,3,1,27,27.0,3,0,0,0.0,0,0.0,0,2,0
12166,डूबा,4,4,37,9.25,2,2,0,0.0,0,0.0,0,2,0
12167,मशगूल,5,1,27,27.0,4,1,0,0.0,0,0.0,0,3,0
12168,मशग़ूल,6,1,27,27.0,4,2,0,0.0,0,0.0,0,3,0
12169,लीन,3,1,27,27.0,2,1,0,0.0,0,0.0,0,1,0
12170,तन्मय,5,2,40,20.0,4,1,0,0.0,0,0.0,1,2,0
12171,निमग्न,6,3,34,11.333333333333334,4,2,0,0.0,0,0.0,1,2,0
12172,दत्तचित्त,9,1,27,27.0,6,3,0,0.0,0,0.0,2,3,0
12173,निरत,4,1,27,27.0,3,1,0,0.0,0,0.0,0,2,0
12174,अनुरत,5,2,48,24.0,3,2,0,0.0,0,0.0,0,3,0
12175,मस्त,4,3,38,12.666666666666666,3,1,0,0.0,0,0.0,1,1,0
12176,अनुरक्त,7,2,48,24.0,4,3,0,0.0,0,0.0,1,3,0
12177,अनुसंरक्त,9,1,27,27.0,5,4,0,0.0,0,0.0,1,4,0
12178,अभिनिविष्ट,10,3,40,13.333333333333334,5,5,0,0.0,0,0.0,1,4,0
12179,अवगाहित,7,4,39,9.75,4,3,0,0.0,0,0.0,0,4,0
12180,अंतर्लीन,8,3,39,13.0,4,4,0,0.0,0,0.0,1,3,0
12181,अन्तर्लीन,9,3,39,13.0,5,4,0,0.0,0,0.0,2,3,0
12182,तदाकार,6,3,31,10.333333333333334,4,2,0,0.0,0,0.0,0,3,0
