id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
5469,टाल,3,3,32,10.666666666666666,2,1,25,8.333333333333334,354,118.0,0,1,0
5470,ढेर,3,3,45,15.0,2,1,45,15.0,357,119.0,0,1,0
5471,समष्टि,6,1,21,21.0,4,2,3,3.0,354,354.0,1,3,0
5472,अंबार,5,3,46,15.333333333333334,2,3,38,12.666666666666666,357,119.0,0,2,0
5473,अम्बार,6,3,46,15.333333333333334,3,3,38,12.666666666666666,357,119.0,1,2,1
5474,जखीरा,5,2,43,21.5,3,2,24,12.0,357,178.5,0,3,1
5475,ज़ख़ीरा,7,1,21,21.0,3,4,3,3.0,354,354.0,0,3,0
5476,गंज,3,4,57,14.25,2,1,38,9.5,357,89.25,0,1,0
5477,अड़ार,5,4,30,7.5,2,3,45,11.25,386,96.5,0,2,0
5478,गंजी,4,5,49,9.8,2,2,46,9.2,354,70.8,0,2,0
5479,गांज,4,1,21,21.0,2,2,3,3.0,354,354.0,0,1,0
5480,पुंज,4,1,21,21.0,2,2,3,3.0,354,354.0,0,1,0
5481,पुंग,4,1,21,21.0,2,2,3,3.0,354,354.0,0,1,0
5482,अड़ारी,6,1,21,21.0,2,4,3,3.0,354,354.0,0,3,0
5483,निकर,4,5,84,16.8,3,1,60,12.0,837,167.4,0,2,0
5484,आचय,3,1,21,21.0,2,1,3,3.0,354,354.0,0,2,0
5485,भड़ुआ,5,2,13,6.5,2,3,20,10.0,0,0.0,0,2,0
5486,भड़ुवा,6,2,13,6.5,3,3,20,10.0,0,0.0,0,3,0
5487,भड़वा,5,2,13,6.5,3,2,20,10.0,0,0.0,0,2,0
5488,दलाल,4,2,17,8.5,3,1,30,15.0,1,0.5,0,2,0
5489,कुटना,5,4,14,3.5,3,2,47,11.75,0,0.0,0,2,0
5490,गुमाश्ता,8,2,12,6.0,4,4,21,10.5,0,0.0,1,3,0
5491,नाजिर,5,3,23,7.666666666666667,3,2,35,11.666666666666666,9,3.0,0,2,0
5492,नाज़िर,6,3,23,7.666666666666667,3,3,35,11.666666666666666,9,3.0,0,2,0
