id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
8646,रुचिकर,6,3,22,7.333333333333333,4,2,0,0.0,0,0.0,0,3,0
8647,मनपसंद,6,1,13,13.0,5,1,0,0.0,0,0.0,0,4,0
8648,पसंदीदा,7,1,13,13.0,4,3,0,0.0,0,0.0,0,4,0
8649,पसन्दीदा,8,1,13,13.0,5,3,0,0.0,0,0.0,1,4,0
8650,मनपसन्द,7,1,13,13.0,6,1,0,0.0,0,0.0,1,4,0
8651,मनचाहा,6,3,35,11.666666666666666,4,2,0,0.0,0,0.0,0,4,0
8652,मनभाता,6,1,13,13.0,4,2,0,0.0,0,0.0,0,4,0
8653,मनभावन,6,1,13,13.0,5,1,0,0.0,0,0.0,0,4,0
8654,ख़ुशगवार,8,1,13,13.0,5,3,0,0.0,0,0.0,0,4,0
8655,खुशगवार,7,1,13,13.0,5,2,0,0.0,0,0.0,0,4,0
8656,दिलपसंद,7,3,10,3.3333333333333335,5,2,70,23.333333333333332,0,0.0,0,4,0
8657,रुचिकारक,8,2,9,4.5,5,3,0,0.0,0,0.0,0,4,0
8658,रुचिकारी,8,1,4,4.0,4,4,0,0.0,0,0.0,0,4,0
8659,क्षुधावर्धक,11,1,5,5.0,7,4,0,0.0,0,0.0,2,5,0
8660,भूखवर्धक,8,1,5,5.0,6,2,0,0.0,0,0.0,1,4,0
8661,अग्निवर्धक,10,2,6,3.0,6,4,0,0.0,0,0.0,2,4,0
