id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
8073,कदर,3,1,18,18.0,3,0,15,15.0,69,69.0,0,2,0
8074,ख़ातिर,6,1,18,18.0,3,3,15,15.0,69,69.0,0,2,0
8075,सत्कार,6,2,39,19.5,4,2,33,16.5,69,34.5,1,2,0
8076,खातिर,5,1,18,18.0,3,2,15,15.0,69,69.0,0,2,0
8077,कद्र,4,1,18,18.0,3,1,15,15.0,69,69.0,1,2,0
8078,क़दर,4,1,18,18.0,3,1,15,15.0,69,69.0,0,2,0
8079,अभिनंदन,7,2,43,21.5,4,3,24,12.0,89,44.5,0,4,0
8080,अभिनन्दन,8,2,43,21.5,5,3,24,12.0,89,44.5,1,4,0
8081,अर्हण,5,2,46,23.0,3,2,27,13.5,107,53.5,1,2,0
8082,इकराम,5,2,24,12.0,3,2,33,16.5,78,39.0,0,3,0
