id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
9606,परिंदा,6,1,43,43.0,3,3,6,6.0,662,662.0,0,3,0
9607,पक्षी,5,2,46,23.0,3,2,11,5.5,677,338.5,1,2,0
9608,चिड़िया,7,4,56,14.0,3,4,57,14.25,695,173.75,0,3,0
9609,पंछी,4,1,43,43.0,2,2,6,6.0,662,662.0,0,2,0
9610,पाँखी,5,3,62,20.666666666666668,2,3,17,5.666666666666667,674,224.66666666666666,0,2,0
9611,पांखी,5,3,62,20.666666666666668,2,3,17,5.666666666666667,674,224.66666666666666,0,2,0
9612,पंखी,4,6,62,10.333333333333334,2,2,17,2.8333333333333335,674,112.33333333333333,0,2,0
9613,खग,2,4,93,23.25,2,0,16,4.0,895,223.75,0,1,0
9614,परिन्दा,7,1,43,43.0,4,3,6,6.0,662,662.0,1,3,0
9615,विहंगम,6,1,43,43.0,4,2,6,6.0,662,662.0,0,3,0
9616,पखेरू,5,1,43,43.0,3,2,6,6.0,662,662.0,0,3,0
9617,विहग,4,5,308,61.6,3,1,15,3.0,910,182.0,0,2,0
9618,शकुन,4,6,79,13.166666666666666,3,1,82,13.666666666666666,694,115.66666666666667,0,2,0
9619,पर्णवी,6,1,43,43.0,4,2,6,6.0,662,662.0,1,2,0
9620,दिवाचर,6,1,43,43.0,4,2,6,6.0,662,662.0,0,3,0
9621,नीड़क,5,1,43,43.0,3,2,6,6.0,662,662.0,0,1,0
9622,नीड़ज,5,1,43,43.0,3,2,6,6.0,662,662.0,0,1,0
9623,द्विज,5,5,205,41.0,3,2,41,8.2,743,148.6,1,2,0
9624,द्विजाति,8,5,205,41.0,4,4,41,8.2,743,148.6,1,4,0
9625,पाखी,4,1,43,43.0,2,2,6,6.0,662,662.0,0,2,0
9626,रसनारव,6,1,43,43.0,5,1,6,6.0,662,662.0,0,4,0
9627,द्विपक्ष,8,2,53,26.5,5,3,10,5.0,750,375.0,2,3,0
9628,नभसंगम,6,1,43,43.0,5,1,6,6.0,662,662.0,0,4,0
9629,पतम,3,3,172,57.333333333333336,3,0,12,4.0,708,236.0,0,2,0
9630,पतंगी,5,1,43,43.0,3,2,6,6.0,662,662.0,0,3,0
9631,पतंगम,5,2,57,28.5,4,1,11,5.5,674,337.0,0,3,0
9632,पतत्रि,6,1,43,43.0,4,2,6,6.0,662,662.0,1,3,0
9633,पत्रती,6,1,43,43.0,4,2,6,6.0,662,662.0,1,2,0
9634,पतन्,4,1,43,43.0,3,1,6,6.0,662,662.0,1,2,0
9635,पत्रवाज,7,1,43,43.0,5,2,6,6.0,662,662.0,1,3,0
9636,पत्रवाह,7,4,88,22.0,5,2,29,7.25,706,176.5,1,3,0
9637,पत्ररथ,6,1,43,43.0,5,1,6,6.0,662,662.0,1,3,0
9638,आकाशचारी,8,6,186,31.0,4,4,22,3.6666666666666665,2849,474.8333333333333,0,5,0
9639,पतग,3,1,43,43.0,3,0,6,6.0,662,662.0,0,2,0
9640,जिह्वारद,8,1,43,43.0,5,3,6,6.0,662,662.0,1,3,0
9641,अंतरिक्षसत्,11,2,56,28.0,6,5,9,4.5,686,343.0,2,5,0
9642,अन्तरिक्षसत्,12,2,56,28.0,7,5,9,4.5,686,343.0,3,5,0
9643,उड़ु,4,4,83,20.75,1,3,29,7.25,870,217.5,0,2,0
9644,उड़ुचर,6,3,62,20.666666666666668,3,3,14,4.666666666666667,869,289.6666666666667,0,3,0
