id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
5111,आखिरी,5,1,14,14.0,2,3,0,0.0,0,0.0,0,3,0
5112,अंतिम,5,3,19,6.333333333333333,2,3,0,0.0,0,0.0,0,2,0
5113,अन्तिम,6,2,17,8.5,3,3,0,0.0,0,0.0,1,2,1
5114,आखरी,4,1,14,14.0,2,2,0,0.0,0,0.0,0,2,1
5115,आख़िरी,6,1,14,14.0,2,4,0,0.0,0,0.0,0,3,1
5116,आख़री,5,1,14,14.0,2,3,0,0.0,0,0.0,0,2,0
5117,फाइनल,5,1,5,5.0,3,2,1,1.0,0,0.0,0,2,0
5118,समाप्तिक,8,1,14,14.0,5,3,0,0.0,0,0.0,1,3,0
5119,चरम,3,3,18,6.0,3,0,0,0.0,0,0.0,0,2,1
5120,अंत्य,5,2,19,9.5,2,3,0,0.0,0,0.0,1,2,0
5121,अन्त्य,6,2,19,9.5,3,3,0,0.0,0,0.0,2,2,0
5122,अवम,3,4,41,10.25,2,1,68,17.0,29,7.25,0,2,1
