id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
12297,विलम्ब,6,1,16,16.0,4,2,24,24.0,6,6.0,1,2,1
12298,देरी,4,1,16,16.0,2,2,24,24.0,6,6.0,0,2,0
12299,विलंब,5,1,16,16.0,3,2,24,24.0,6,6.0,0,2,1
12300,लेट,3,1,16,16.0,2,1,24,24.0,6,6.0,0,1,0
12301,अबेर,4,1,16,16.0,2,2,24,24.0,6,6.0,0,2,1
12302,अतिकाल,6,2,32,16.0,3,3,48,24.0,13,6.5,0,3,1
12303,अतिवेला,7,2,32,16.0,3,4,48,24.0,13,6.5,0,4,1
12304,अबार,4,1,16,16.0,2,2,24,24.0,6,6.0,0,2,1
12305,अवेर,4,1,16,16.0,2,2,24,24.0,6,6.0,0,2,1
12306,व्याज,5,3,84,28.0,3,2,59,19.666666666666668,37,12.333333333333334,1,2,1
12307,चिर,3,2,17,8.5,2,1,27,13.5,6,3.0,0,1,1
