id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
3972,आरम्भ,5,5,43,8.6,3,2,35,7.0,15,3.0,1,2,0
3973,आरंभ,4,5,43,8.6,2,2,35,7.0,15,3.0,0,2,0
3974,शुरुआत,6,5,43,8.6,3,3,35,7.0,15,3.0,0,2,0
3975,प्रारंभ,7,2,27,13.5,4,3,17,8.5,15,7.5,1,3,0
3976,प्रारम्भ,8,2,27,13.5,5,3,17,8.5,15,7.5,2,3,0
3977,आदि,3,1,9,9.0,1,2,16,16.0,4,4.0,0,2,0
3978,श्रीगेणश,8,1,9,9.0,5,3,16,16.0,4,4.0,1,4,0
3979,अव्वल,5,1,9,9.0,3,2,16,16.0,4,4.0,1,2,0
3980,शुरुवात,7,1,18,18.0,4,3,1,1.0,11,11.0,0,3,0
3981,श्रीगणेश,8,2,80,40.0,5,3,37,18.5,11,5.5,1,4,0
3982,शुरू,4,2,22,11.0,2,2,5,2.5,11,5.5,0,2,0
3983,अभ्युदय,7,3,28,9.333333333333334,4,3,14,4.666666666666667,26,8.666666666666666,1,3,0
3984,आग़ाज़,6,1,18,18.0,2,4,1,1.0,11,11.0,0,2,0
3985,आगाज,4,1,18,18.0,2,2,1,1.0,11,11.0,0,2,0
3986,आगाज़,5,1,18,18.0,2,3,1,1.0,11,11.0,0,2,0
3987,बिस्मिल्लाह,11,1,18,18.0,6,5,1,1.0,11,11.0,2,3,0
3988,इब्तिदा,7,2,27,13.5,3,4,15,7.5,13,6.5,1,3,1
3989,इब्तदा,6,1,18,18.0,3,3,1,1.0,11,11.0,1,2,0
3990,इब्तेदा,7,1,18,18.0,3,4,1,1.0,11,11.0,1,3,0
3991,प्रवर्तन,8,3,25,8.333333333333334,6,2,17,5.666666666666667,14,4.666666666666667,2,4,0
3992,ओपनिंग,6,2,12,6.0,3,3,14,7.0,0,0.0,0,3,0
