id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
9716,दुश्मन,6,1,43,43.0,4,2,41,41.0,6,6.0,1,2,0
9717,शत्रु,5,1,43,43.0,3,2,41,41.0,6,6.0,1,2,0
9718,वैरी,4,1,43,43.0,2,2,41,41.0,6,6.0,0,2,0
9719,विरोधी,6,3,53,17.666666666666668,3,3,71,23.666666666666668,6,2.0,0,3,0
9720,बैरी,4,1,43,43.0,2,2,41,41.0,6,6.0,0,2,0
9721,मुद्दई,6,2,51,25.5,3,3,56,28.0,6,3.0,1,2,0
9722,रिपु,4,2,44,22.0,2,2,43,21.5,6,3.0,0,2,0
9723,प्रतिद्वंद्वी,13,2,52,26.0,7,6,50,25.0,19,9.5,3,5,0
9724,प्रतिद्वन्द्वी,14,2,52,26.0,8,6,50,25.0,19,9.5,4,5,0
9725,मुखालिफ,7,2,51,25.5,4,3,56,28.0,6,3.0,0,3,0
9726,मुख़ालिफ़,9,2,51,25.5,4,5,56,28.0,6,3.0,0,3,0
9727,रकीब,4,2,52,26.0,3,1,50,25.0,19,9.5,0,2,0
9728,रक़ीब,5,2,52,26.0,3,2,50,25.0,19,9.5,0,2,0
9729,अराति,5,4,57,14.25,2,3,92,23.0,6,1.5,0,3,0
9730,सतर,3,2,67,33.5,3,0,60,30.0,31,15.5,0,2,1
9731,अमित्र,6,1,43,43.0,3,3,41,41.0,6,6.0,1,3,0
9732,अमीत,4,1,43,43.0,2,2,41,41.0,6,6.0,0,2,0
9733,अरिंद,5,1,43,43.0,2,3,41,41.0,6,6.0,0,2,0
9734,द्विष,5,1,43,43.0,3,2,41,41.0,6,6.0,1,2,0
9735,अरिन्द,6,1,43,43.0,3,3,41,41.0,6,6.0,1,2,0
9736,अरुंतुद,7,1,43,43.0,3,4,41,41.0,6,6.0,0,3,0
9737,अरुन्तुद,8,1,43,43.0,4,4,41,41.0,6,6.0,1,3,1
9738,तपु,3,3,229,76.33333333333333,2,1,45,15.0,74,24.666666666666668,0,1,0
9739,युधान,5,3,59,19.666666666666668,3,2,57,19.0,6,2.0,0,2,0
9740,प्रतिकंचुक,10,1,43,43.0,6,4,41,41.0,6,6.0,1,5,0
9741,प्रतिकञ्चुक,11,1,43,43.0,7,4,41,41.0,6,6.0,2,5,0
9742,कैरव,4,5,110,22.0,3,1,154,30.8,11,2.2,0,2,0
9743,विद्वेषी,8,1,43,43.0,4,4,41,41.0,6,6.0,1,3,0
9744,असहन,4,1,43,43.0,3,1,41,41.0,6,6.0,0,3,0
9745,असुहृदय,7,1,43,43.0,4,3,41,41.0,6,6.0,0,4,0
9746,आराति,5,1,43,43.0,2,3,41,41.0,6,6.0,0,3,0
9747,विद्विष,7,2,88,44.0,4,3,56,28.0,26,13.0,1,2,1
9748,घातक,4,4,73,18.25,3,1,63,15.75,13,3.25,0,2,0
9749,घातकी,5,4,73,18.25,3,2,63,15.75,13,3.25,0,2,0
9750,परिपंथी,7,1,43,43.0,4,3,41,41.0,6,6.0,0,4,0
9751,परिपंथक,7,1,43,43.0,5,2,41,41.0,6,6.0,0,4,0
9752,परिपंथिक,8,1,43,43.0,5,3,41,41.0,6,6.0,0,4,0
9753,परिपन्थी,8,1,43,43.0,5,3,41,41.0,6,6.0,1,4,0
9754,परिपन्थक,8,1,43,43.0,6,2,41,41.0,6,6.0,1,4,0
9755,परिपन्थिक,9,1,43,43.0,6,3,41,41.0,6,6.0,1,4,0
