id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
2514,मुक्ति,6,6,98,16.333333333333332,3,3,85,14.166666666666666,35,5.833333333333333,1,2,0
2515,आज़ादी,6,5,70,14.0,2,4,70,14.0,35,7.0,0,3,1
2516,आजादी,5,5,70,14.0,2,3,70,14.0,35,7.0,0,3,0
2517,छुटकारा,7,4,57,14.25,4,3,55,13.75,35,8.75,0,4,0
2518,उन्मुक्ति,9,2,41,20.5,4,5,17,8.5,29,14.5,2,3,0
2519,निजात,5,4,57,14.25,3,2,55,13.75,35,8.75,0,2,0
2520,निज़ात,6,4,57,14.25,3,3,55,13.75,35,8.75,0,2,0
2521,बंधनमुक्ति,10,5,54,10.8,6,4,23,4.6,33,6.6,1,5,1
2522,विमुक्ति,8,2,41,20.5,4,4,17,8.5,29,14.5,1,3,0
2523,रिहाई,5,3,46,15.333333333333334,2,3,39,13.0,29,9.666666666666666,0,2,0
2524,छूट,3,6,36,6.0,2,1,50,8.333333333333334,22,3.6666666666666665,0,1,0
2525,अजादी,5,3,54,18.0,2,3,32,10.666666666666666,29,9.666666666666666,0,3,0
2526,निवृत्ति,8,4,57,14.25,4,4,55,13.75,35,8.75,1,3,0
2527,विमोचन,6,5,30,6.0,4,2,5,1.0,13,2.6,0,3,0
2528,निवारण,6,4,44,11.0,4,2,8,2.0,24,6.0,0,3,0
2529,अपोह,4,2,41,20.5,2,2,17,8.5,29,14.5,0,2,0
2530,व्यवच्छेद,9,4,69,17.25,6,3,38,9.5,33,8.25,2,4,1
2531,अवसर्जन,7,2,41,20.5,5,2,17,8.5,29,14.5,1,4,0
2532,उग्रह,5,3,42,14.0,3,2,45,15.0,29,9.666666666666666,1,2,0
2533,स्वाधीनता,9,1,13,13.0,5,4,15,15.0,0,0.0,1,4,0
2534,स्वतंत्रता,10,1,13,13.0,6,4,15,15.0,0,0.0,2,4,0
2535,स्वतन्त्रता,11,1,13,13.0,7,4,15,15.0,0,0.0,3,4,0
2536,स्वातंत्र्य,11,1,13,13.0,6,5,15,15.0,0,0.0,3,4,0
2537,स्वातन्त्र्य,12,1,13,13.0,7,5,15,15.0,0,0.0,4,4,0
2538,अवसर्ग,6,2,19,9.5,4,2,23,11.5,0,0.0,1,3,0
2539,अवसा,4,1,13,13.0,2,2,15,15.0,0,0.0,0,2,0
2540,आजादगी,6,1,13,13.0,3,3,15,15.0,0,0.0,0,3,0
2541,आज़ादगी,7,1,13,13.0,3,4,15,15.0,0,0.0,0,3,0
2542,कैवल्य,6,2,33,16.5,4,2,17,8.5,0,0.0,1,3,0
2543,तथागति,6,1,28,28.0,4,2,15,15.0,0,0.0,0,3,0
2544,निर्वाण,7,2,33,16.5,4,3,17,8.5,0,0.0,1,2,0
2545,निस्तार,7,2,32,16.0,4,3,16,8.0,0,0.0,1,2,0
2546,महानिर्वाण,10,2,29,14.5,6,4,72,36.0,0,0.0,1,4,0
2547,तरणतारण,7,3,34,11.333333333333334,6,1,45,15.0,0,0.0,0,5,0
2548,तरनतारन,7,3,34,11.333333333333334,6,1,45,15.0,0,0.0,0,5,0
2549,परमपद,5,1,28,28.0,5,0,15,15.0,0,0.0,0,4,0
2550,अमृतत्व,7,2,46,23.0,4,3,31,15.5,0,0.0,1,3,0
2551,अनपायिपद,8,1,28,28.0,5,3,15,15.0,0,0.0,0,5,0
2552,अनफाँस,6,1,28,28.0,3,3,15,15.0,0,0.0,0,3,0
2553,अनावृत्ति,9,1,28,28.0,4,5,15,15.0,0,0.0,1,4,0
2554,अपवर्ग,6,5,72,14.4,4,2,53,10.6,45,9.0,1,3,1
2555,अपुनरावर्तन,11,2,30,15.0,7,4,16,8.0,0,0.0,1,6,0
2556,अपुनरावृत्ति,12,2,30,15.0,6,6,16,8.0,0,0.0,1,6,0
2557,अपुनर्मव,8,2,29,14.5,5,3,31,15.5,0,0.0,1,4,0
2558,अभयपद,5,1,28,28.0,4,1,15,15.0,0,0.0,0,4,0
2559,अमरपद,5,2,74,37.0,4,1,17,8.5,1,0.5,0,4,0
2560,शिवा,4,17,464,27.294117647058822,2,2,210,12.352941176470589,94,5.529411764705882,0,2,0
2561,अशरीरत्व,8,1,28,28.0,5,3,15,15.0,0,0.0,1,4,0
2562,आत्मसिद्धि,10,1,28,28.0,5,5,15,15.0,0,0.0,2,4,0
2563,आत्मोद्धार,10,1,28,28.0,5,5,15,15.0,0,0.0,2,3,0
2564,क्षेम,5,3,51,17.0,3,2,34,11.333333333333334,24,8.0,1,2,0
