id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
12627,लोकतांत्रिक,11,2,59,29.5,6,5,0,0.0,0,0.0,1,4,0
12628,प्रजातांत्रिक,13,2,59,29.5,7,6,0,0.0,0,0.0,2,5,0
12629,प्रजातान्त्रिक,14,2,59,29.5,8,6,0,0.0,0,0.0,3,5,0
12630,प्रजातंत्रात्मक,15,2,59,29.5,9,6,0,0.0,0,0.0,3,6,0
12631,प्रजातन्त्रात्मक,16,2,59,29.5,10,6,0,0.0,0,0.0,4,6,0
12632,जनतांत्रिक,10,2,59,29.5,6,4,0,0.0,0,0.0,1,4,0
12633,जनतान्त्रिक,11,2,59,29.5,7,4,0,0.0,0,0.0,2,4,0
12634,जनतंत्रात्मक,12,2,59,29.5,8,4,0,0.0,0,0.0,2,5,0
12635,जनतन्त्रात्मक,13,2,59,29.5,9,4,0,0.0,0,0.0,3,5,0
12636,लोकतंत्री,9,2,59,29.5,5,4,0,0.0,0,0.0,1,4,0
12637,लोकतन्त्री,10,2,59,29.5,6,4,0,0.0,0,0.0,2,4,0
12638,लोकतंत्रीय,10,2,59,29.5,6,4,0,0.0,0,0.0,1,5,0
12639,लोकतन्त्रीय,11,2,59,29.5,7,4,0,0.0,0,0.0,2,5,0
12640,लोकतान्त्रिक,12,2,59,29.5,7,5,0,0.0,0,0.0,2,4,0
12641,लोकतंत्रात्मक,13,2,59,29.5,8,5,0,0.0,0,0.0,2,5,0
12642,लोकतन्त्रात्मक,14,2,59,29.5,9,5,0,0.0,0,0.0,3,5,0
12643,प्रजातंत्रीय,12,2,59,29.5,7,5,0,0.0,0,0.0,2,6,0
12644,प्रजातन्त्रीय,13,2,59,29.5,8,5,0,0.0,0,0.0,3,6,0
12645,प्रजातंत्री,11,2,59,29.5,6,5,0,0.0,0,0.0,2,5,0
12646,प्रजातन्त्री,12,2,59,29.5,7,5,0,0.0,0,0.0,3,5,0
12647,जनतंत्री,8,1,7,7.0,5,3,18,18.0,0,0.0,1,4,0
12648,जनतंत्रीय,9,2,59,29.5,6,3,0,0.0,0,0.0,1,5,0
12649,जनतन्त्री,9,2,59,29.5,6,3,0,0.0,0,0.0,2,4,0
12650,जनतन्त्रीय,10,2,59,29.5,7,3,0,0.0,0,0.0,2,5,0
12651,सार्वलौकिक,10,1,25,25.0,6,4,0,0.0,0,0.0,1,4,0
12652,गणतांत्रिक,10,1,34,34.0,6,4,0,0.0,0,0.0,1,4,0
12653,गणतान्त्रिक,11,1,34,34.0,7,4,0,0.0,0,0.0,2,4,0
12654,गणतंत्रात्मक,12,1,34,34.0,8,4,0,0.0,0,0.0,2,5,0
12655,गणतन्त्रात्मक,13,1,34,34.0,9,4,0,0.0,0,0.0,3,5,0
12656,गणतंत्रीय,9,1,34,34.0,6,3,0,0.0,0,0.0,1,5,0
12657,गणतन्त्रीय,10,1,34,34.0,7,3,0,0.0,0,0.0,2,5,0
12658,गणतंत्री,8,1,34,34.0,5,3,0,0.0,0,0.0,1,4,0
12659,गणतन्त्री,9,1,34,34.0,6,3,0,0.0,0,0.0,2,4,0
12660,गणतंत्रिक,9,1,34,34.0,6,3,0,0.0,0,0.0,1,4,0
12661,गणतन्त्रिक,10,1,34,34.0,7,3,0,0.0,0,0.0,2,4,0
