id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
5896,चकित,4,1,26,26.0,3,1,0,0.0,0,0.0,0,2,1
5897,अचंभित,6,1,26,26.0,3,3,0,0.0,0,0.0,0,3,1
5898,विस्मित,7,1,26,26.0,4,3,0,0.0,0,0.0,1,2,1
5899,दंग,3,1,26,26.0,2,1,0,0.0,0,0.0,0,1,1
5900,स्तब्ध,6,1,26,26.0,4,2,0,0.0,0,0.0,2,2,1
5901,अवाक्,5,2,49,24.5,2,3,0,0.0,0,0.0,1,2,0
5902,अवाक,4,2,49,24.5,2,2,0,0.0,0,0.0,0,2,0
5903,आश्चर्यचकित,11,1,26,26.0,7,4,0,0.0,0,0.0,2,5,1
5904,भौचक्का,7,1,26,26.0,4,3,0,0.0,0,0.0,1,3,0
5905,भौंचक,5,1,26,26.0,3,2,0,0.0,0,0.0,0,2,1
5906,भौचक,4,1,26,26.0,3,1,0,0.0,0,0.0,0,2,1
5907,हैरान,5,2,37,18.5,3,2,0,0.0,0,0.0,0,2,1
5908,आश्चर्यमय,9,3,41,13.666666666666666,6,3,35,11.666666666666666,0,0.0,2,4,1
5909,आश्चर्यपूर्ण,12,1,26,26.0,7,5,0,0.0,0,0.0,3,4,1
5910,आश्चर्यान्वित,13,1,26,26.0,7,6,0,0.0,0,0.0,3,4,1
5911,अचम्भित,7,1,26,26.0,4,3,0,0.0,0,0.0,1,3,0
5912,हैरतज़दा,8,1,26,26.0,5,3,0,0.0,0,0.0,0,4,1
5913,हैरतजदा,7,1,26,26.0,5,2,0,0.0,0,0.0,0,4,1
5914,आश्चर्यित,9,1,26,26.0,5,4,0,0.0,0,0.0,2,3,1
5915,चमत्कृत,7,1,26,26.0,5,2,0,0.0,0,0.0,1,3,1
5916,अवदीर्ण,7,4,48,12.0,4,3,0,0.0,0,0.0,1,3,1
5917,अवसन्न,6,5,92,18.4,4,2,0,0.0,0,0.0,1,3,1
5918,त्रस्त,6,3,69,23.0,4,2,0,0.0,0,0.0,2,2,0
5919,आकुंठित,7,3,58,19.333333333333332,3,4,0,0.0,0,0.0,0,3,1
5920,आकुण्ठित,8,3,58,19.333333333333332,4,4,0,0.0,0,0.0,1,3,1
5921,आचरजित,6,1,26,26.0,4,2,0,0.0,0,0.0,0,4,1
