id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
4171,गीत,3,1,10,10.0,2,1,6,6.0,130,130.0,0,1,0
4172,गाना,4,2,15,7.5,2,2,14,7.0,134,67.0,0,2,0
4173,गान,3,1,10,10.0,2,1,6,6.0,130,130.0,0,1,0
4174,तराना,5,1,10,10.0,3,2,6,6.0,130,130.0,0,3,0
4175,नग़्मा,6,1,10,10.0,3,3,6,6.0,130,130.0,1,1,0
4176,नग़मा,5,1,10,10.0,3,2,6,6.0,130,130.0,0,2,0
4177,नग्मा,5,1,10,10.0,3,2,6,6.0,130,130.0,1,2,0
4178,नगमा,4,1,10,10.0,3,1,6,6.0,130,130.0,0,2,0
4179,नग़्म,5,1,10,10.0,3,2,6,6.0,130,130.0,1,0,0
4180,नग्म,4,1,10,10.0,3,1,6,6.0,130,130.0,1,1,0
