id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
6095,बाजार,5,5,33,6.6,3,2,34,6.8,58,11.6,0,2,0
6096,बाज़ार,6,5,33,6.6,3,3,34,6.8,58,11.6,0,2,0
6097,बजार,4,5,33,6.6,3,1,34,6.8,58,11.6,0,2,0
6098,मार्केट,7,3,15,5.0,4,3,16,5.333333333333333,54,18.0,1,2,0
6099,पण्य,4,2,19,9.5,3,1,21,10.5,58,29.0,1,2,0
6100,हाट,3,3,21,7.0,2,1,21,7.0,41,13.666666666666666,0,1,1
6101,पैंठ,4,4,23,5.75,2,2,23,5.75,41,10.25,0,1,1
6102,पैठ,3,7,43,6.142857142857143,2,1,62,8.857142857142858,57,8.142857142857142,0,1,1
6103,पण्यशाला,8,1,12,12.0,5,3,7,7.0,4,4.0,1,4,0
6104,आपण,3,3,22,7.333333333333333,2,1,26,8.666666666666666,41,13.666666666666666,0,2,1
6105,रेट,3,2,8,4.0,2,1,39,19.5,28,14.0,0,1,0
