id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
8793,जलहीन,5,1,10,10.0,4,1,0,0.0,0,0.0,0,3,0
8794,निर्जल,6,2,12,6.0,4,2,0,0.0,0,0.0,1,2,0
8795,अजल,3,1,10,10.0,2,1,0,0.0,0,0.0,0,2,0
8796,जलरहित,6,1,10,10.0,5,1,0,0.0,0,0.0,0,4,0
8797,अनंभ,4,2,48,24.0,2,2,0,0.0,0,0.0,0,2,0
8798,अनम्भ,5,2,48,24.0,3,2,0,0.0,0,0.0,1,2,0
8799,अनप,3,1,10,10.0,2,1,0,0.0,0,0.0,0,2,0
8800,अनुदक,5,1,10,10.0,3,2,0,0.0,0,0.0,0,3,0
8801,निरुदक,6,1,10,10.0,4,2,0,0.0,0,0.0,0,3,0
8802,निरप,4,1,10,10.0,3,1,0,0.0,0,0.0,0,2,0
