id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
9847,महाजन,5,1,10,10.0,4,1,15,15.0,1,1.0,0,3,0
9848,साहूकार,7,1,10,10.0,4,3,15,15.0,1,1.0,0,3,0
9849,धनिक,4,2,32,16.0,3,1,30,15.0,6,3.0,0,2,0
9850,सावकार,6,1,10,10.0,4,2,15,15.0,1,1.0,0,3,0
9851,कोठीवाल,7,1,10,10.0,4,3,15,15.0,1,1.0,0,3,0
9852,ब्योहरिया,9,1,10,10.0,5,4,15,15.0,1,1.0,1,5,0
9853,सेठ,3,1,10,10.0,2,1,15,15.0,1,1.0,0,1,0
9854,साह,3,1,10,10.0,2,1,15,15.0,1,1.0,0,1,0
9855,साहू,4,2,11,5.5,2,2,24,12.0,1,0.5,0,2,0
9856,साहु,4,2,19,9.5,2,2,30,15.0,2,1.0,0,2,0
