id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
5804,पुश्ता,6,4,17,4.25,3,3,31,7.75,1,0.25,1,2,0
5805,दासा,4,1,4,4.0,2,2,21,21.0,0,0.0,0,2,0
5806,दीवारदासा,9,1,4,4.0,5,4,21,21.0,0,0.0,0,5,0
5807,बाँध,4,1,11,11.0,2,2,6,6.0,1,1.0,0,1,0
5808,बांध,4,1,11,11.0,2,2,6,6.0,1,1.0,0,1,0
5809,सेतु,4,2,16,8.0,2,2,12,6.0,16,8.0,0,2,0
5810,सेत,3,2,16,8.0,2,1,12,6.0,16,8.0,0,1,0
5811,अवग्रह,6,8,66,8.25,4,2,129,16.125,66,8.25,1,3,0
5812,जलबंधक,6,1,11,11.0,5,1,6,6.0,1,1.0,0,4,0
5813,जलबन्धक,7,1,11,11.0,6,1,6,6.0,1,1.0,1,4,0
5814,आलि,3,5,56,11.2,1,2,67,13.4,34,6.8,0,2,0
