id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
3015,दुर्गति,7,1,20,20.0,4,3,15,15.0,0,0.0,1,2,0
3016,दुर्दशा,7,1,20,20.0,4,3,15,15.0,0,0.0,1,2,1
3017,दुरावस्था,9,1,20,20.0,5,4,15,15.0,0,0.0,1,4,1
3018,दुःस्थिति,9,1,20,20.0,4,5,15,15.0,0,0.0,1,3,1
3019,फ़ज़ीअत,7,2,84,42.0,3,4,31,15.5,6,3.0,0,2,1
3020,फ़ज़ीहत,7,2,84,42.0,4,3,31,15.5,6,3.0,0,3,0
3021,फजीअत,5,2,84,42.0,3,2,31,15.5,6,3.0,0,2,0
3022,फजीहत,5,2,84,42.0,4,1,31,15.5,6,3.0,0,3,1
3023,अगति,4,3,43,14.333333333333334,2,2,67,22.333333333333332,0,0.0,0,2,0
3024,अगत,3,2,35,17.5,2,1,39,19.5,0,0.0,0,2,0
3025,दुर्गत,6,1,20,20.0,4,2,15,15.0,0,0.0,1,2,0
3026,अपति,4,1,20,20.0,2,2,15,15.0,0,0.0,0,2,1
3027,दिहाड़ा,7,1,20,20.0,3,4,15,15.0,0,0.0,0,2,1
3028,विपाक,5,6,69,11.5,3,2,59,9.833333333333334,53,8.833333333333334,0,2,1
3029,औगत,3,1,20,20.0,2,1,15,15.0,0,0.0,0,2,0
3030,अवगति,5,2,30,15.0,3,2,15,7.5,488,244.0,0,3,0
3031,कुगति,5,1,20,20.0,3,2,15,15.0,0,0.0,0,2,1
