id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
6421,कीर्ति,6,1,26,26.0,3,3,15,15.0,15,15.0,1,2,0
6422,ख्याति,6,2,27,13.5,3,3,19,9.5,15,7.5,1,3,0
6423,यश,2,1,26,26.0,2,0,15,15.0,15,15.0,0,1,0
6424,प्रसिद्धि,9,1,26,26.0,5,4,15,15.0,15,15.0,2,4,0
6425,शोहरत,5,1,26,26.0,4,1,15,15.0,15,15.0,0,3,0
6426,प्रख्याति,9,1,26,26.0,5,4,15,15.0,15,15.0,2,4,0
6427,जस,2,1,26,26.0,2,0,15,15.0,15,15.0,0,1,0
6428,सुख्याति,8,1,26,26.0,4,4,15,15.0,15,15.0,1,3,0
6429,नेकनामी,7,1,26,26.0,4,3,15,15.0,15,15.0,0,4,0
6430,नामवरी,6,1,26,26.0,4,2,15,15.0,15,15.0,0,3,0
6431,सुयश,4,1,26,26.0,3,1,15,15.0,15,15.0,0,2,0
6432,विरुद,5,1,26,26.0,3,2,15,15.0,15,15.0,0,2,0
6433,विरद,4,1,26,26.0,3,1,15,15.0,15,15.0,0,2,0
6434,अभिख्या,7,1,26,26.0,3,4,15,15.0,15,15.0,1,3,0
6435,अभिख्यान,8,1,26,26.0,4,4,15,15.0,15,15.0,1,3,0
6436,अभिजन,5,5,64,12.8,3,2,84,16.8,65,13.0,0,3,0
6437,आख्या,5,2,31,15.5,2,3,18,9.0,18,9.0,1,2,1
6438,प्रतिख्याति,11,1,26,26.0,6,5,15,15.0,15,15.0,2,5,0
6439,विख्याति,8,1,26,26.0,4,4,15,15.0,15,15.0,1,3,0
6440,प्रचार,6,6,43,7.166666666666667,4,2,78,13.0,20,3.3333333333333335,1,3,0
