id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
3099,गाँठ,4,11,56,5.090909090909091,2,2,100,9.090909090909092,49,4.454545454545454,0,1,0
3100,गिरह,4,3,26,8.666666666666666,3,1,18,6.0,9,3.0,0,2,0
3101,ग्रंथि,6,2,15,7.5,3,3,8,4.0,39,19.5,1,3,0
3102,ग्रन्थि,7,2,15,7.5,4,3,8,4.0,39,19.5,2,3,0
3103,गंडा,4,6,23,3.8333333333333335,2,2,48,8.0,9,1.5,0,2,0
3104,गुढ़ी,5,1,13,13.0,2,3,6,6.0,9,9.0,0,2,0
3105,गण्डा,5,6,23,3.8333333333333335,3,2,48,8.0,9,1.5,1,2,0
3106,गांठ,4,10,55,5.5,2,2,87,8.7,49,4.9,0,1,0
3107,आबंध,4,5,54,10.8,2,2,46,9.2,33,6.6,0,2,1
3108,आबन्ध,5,5,54,10.8,3,2,46,9.2,33,6.6,1,2,1
3109,आबंधन,5,6,56,9.333333333333334,3,2,49,8.166666666666666,33,5.5,0,3,1
3110,आबन्धन,6,6,56,9.333333333333334,4,2,49,8.166666666666666,33,5.5,1,3,1
3111,आरसा,4,2,18,9.0,2,2,23,11.5,20,10.0,0,2,0
3112,घुंडी,5,3,6,2.0,2,3,13,4.333333333333333,0,0.0,0,2,0
3113,अंठी,4,4,26,6.5,1,3,35,8.75,5,1.25,0,2,0
3114,अँठली,5,4,26,6.5,2,3,35,8.75,5,1.25,0,2,0
3115,आँठी,4,4,19,4.75,1,3,12,3.0,0,0.0,0,2,0
3116,आंट,3,6,82,13.666666666666666,1,2,41,6.833333333333333,26,4.333333333333333,0,1,0
3117,अंठली,5,2,18,9.0,2,3,30,15.0,5,2.5,0,2,0
3118,आंठी,4,1,10,10.0,1,3,6,6.0,0,0.0,0,2,0
3119,गुलथी,5,3,8,2.6666666666666665,3,2,13,4.333333333333333,10,3.3333333333333335,0,2,0
3120,गिलटी,5,3,16,5.333333333333333,3,2,38,12.666666666666666,15,5.0,0,2,0
3121,गिल्टी,6,3,16,5.333333333333333,3,3,38,12.666666666666666,15,5.0,1,2,0
3122,बंडल,4,1,4,4.0,3,1,27,27.0,1,1.0,0,2,0
3123,पुलिंदा,7,1,4,4.0,3,4,27,27.0,1,1.0,0,3,0
3124,अर्बुद,6,7,110,15.714285714285714,3,3,101,14.428571428571429,15,2.142857142857143,1,2,1
3125,ट्यूमर,6,1,4,4.0,4,2,24,24.0,7,7.0,1,3,0
3126,जोड़,4,11,72,6.545454545454546,2,2,175,15.909090909090908,27,2.4545454545454546,0,1,0
3127,संधि,4,6,39,6.5,2,2,70,11.666666666666666,29,4.833333333333333,0,2,1
3128,सन्धि,5,6,39,6.5,3,2,70,11.666666666666666,29,4.833333333333333,1,2,1
3129,पोर,3,4,14,3.5,2,1,12,3.0,22,5.5,0,1,1
3130,पर्व,4,10,42,4.2,3,1,85,8.5,205,20.5,1,1,0
