id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
7479,तूलिका,6,2,16,8.0,3,3,18,9.0,0,0.0,0,3,0
7480,तूलि,4,1,14,14.0,2,2,9,9.0,0,0.0,0,2,1
7481,तीली,4,5,26,5.2,2,2,33,6.6,12,2.4,0,2,0
7482,कूँची,5,2,17,8.5,2,3,11,5.5,5,2.5,0,2,0
7483,कूची,4,2,17,8.5,2,2,11,5.5,5,2.5,0,2,0
7484,ब्रश,4,2,17,8.5,3,1,11,5.5,5,2.5,1,2,0
7485,क़लम,4,11,45,4.090909090909091,3,1,68,6.181818181818182,15,1.3636363636363635,0,2,0
7486,कलम,3,11,45,4.090909090909091,3,0,68,6.181818181818182,15,1.3636363636363635,0,2,0
7487,अक्षरतूलिका,11,1,14,14.0,6,5,9,9.0,0,0.0,1,6,0
7488,आघर्षणी,7,2,17,8.5,4,3,22,11.0,0,0.0,1,3,1
7489,इषीका,5,4,57,14.25,2,3,24,6.0,46,11.5,0,3,0
7490,इशिका,5,4,57,14.25,2,3,24,6.0,46,11.5,0,3,0
7491,इशीका,5,4,57,14.25,2,3,24,6.0,46,11.5,0,3,0
7492,ईषिका,5,2,18,9.0,2,3,18,9.0,0,0.0,0,3,0
7493,शलाका,5,2,10,5.0,3,2,11,5.5,1,0.5,0,3,0
