id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
4320,निष्पन्न,8,3,45,15.0,5,3,0,0.0,0,0.0,2,2,0
4321,परिणामित,8,1,2,2.0,5,3,0,0.0,0,0.0,0,4,0
4322,जन्मा,5,2,28,14.0,3,2,0,0.0,0,0.0,1,2,0
4323,उत्पन्न,7,3,34,11.333333333333334,4,3,0,0.0,0,0.0,2,2,0
4324,संजात,5,1,18,18.0,3,2,0,0.0,0,0.0,0,2,1
4325,जनित,4,2,20,10.0,3,1,0,0.0,0,0.0,0,2,0
4326,प्रसूत,6,3,18,6.0,4,2,50,16.666666666666668,323,107.66666666666667,1,3,0
4327,प्रसून,6,3,29,9.666666666666666,4,2,20,6.666666666666667,531,177.0,1,3,0
4328,पैदा,4,1,15,15.0,2,2,25,25.0,9,9.0,0,2,0
4329,संवृत्त,7,2,40,20.0,4,3,43,21.5,0,0.0,1,2,0
4330,आविर्भूत,8,2,26,13.0,4,4,0,0.0,0,0.0,1,3,1
4331,अवजनित,6,1,18,18.0,4,2,0,0.0,0,0.0,0,4,0
4332,उतपन्न,6,2,24,12.0,4,2,0,0.0,0,0.0,1,3,0
4333,अधिज,4,2,27,13.5,2,2,0,0.0,0,0.0,0,2,0
4334,संपादित,7,2,27,13.5,4,3,0,0.0,0,0.0,0,3,0
4335,सम्पादित,8,2,27,13.5,5,3,0,0.0,0,0.0,1,3,0
4336,निष्पादित,9,1,25,25.0,5,4,0,0.0,0,0.0,1,3,0
4337,संपन्न,6,2,15,7.5,4,2,36,18.0,80,40.0,1,2,0
4338,सम्पन्न,7,2,15,7.5,5,2,36,18.0,80,40.0,2,2,0
4339,मुकम्मल,7,2,41,20.5,5,2,0,0.0,0,0.0,1,3,0
4340,संपूर्ण,7,5,78,15.6,4,3,0,0.0,0,0.0,1,2,0
4341,पूरा,4,1,1,1.0,2,2,8,8.0,0,0.0,0,2,0
4342,पूर्ण,5,5,68,13.6,3,2,0,0.0,0,0.0,1,1,0
4343,सम्पूरित,8,1,25,25.0,5,3,0,0.0,0,0.0,1,3,1
4344,परिपूरित,8,2,41,20.5,5,3,0,0.0,0,0.0,0,4,1
4345,साधित,5,1,25,25.0,3,2,0,0.0,0,0.0,0,2,0
4346,समाप्त,6,3,78,26.0,4,2,0,0.0,0,0.0,1,2,1
4347,ख़त्म,5,1,25,25.0,3,2,0,0.0,0,0.0,1,1,0
4348,खत्म,4,1,25,25.0,3,1,0,0.0,0,0.0,1,1,0
4349,ख़तम,4,1,25,25.0,3,1,0,0.0,0,0.0,0,2,0
4350,खतम,3,1,25,25.0,3,0,0,0.0,0,0.0,0,2,0
4351,तमाम,4,2,48,24.0,3,1,0,0.0,0,0.0,0,2,0
4352,अशेष,4,4,114,28.5,2,2,0,0.0,0,0.0,0,2,0
4353,अवसित,5,5,112,22.4,3,2,0,0.0,0,0.0,0,3,1
4354,संहृत,5,3,81,27.0,3,2,0,0.0,0,0.0,0,2,0
4355,परिणीत,6,2,31,15.5,4,2,0,0.0,0,0.0,0,3,0
