id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
12422,अद्भुत,6,2,46,23.0,3,3,0,0.0,0,0.0,1,2,0
12423,विलक्षण,7,2,46,23.0,5,2,0,0.0,0,0.0,1,3,0
12424,अजीब,4,1,21,21.0,2,2,3,3.0,0,0.0,0,2,0
12425,अनूठा,5,1,30,30.0,2,3,0,0.0,0,0.0,0,3,0
12426,विचित्र,7,2,46,23.0,4,3,0,0.0,0,0.0,1,3,0
12427,अजब,3,1,21,21.0,2,1,3,3.0,0,0.0,0,2,0
12428,अजूबा,5,3,31,10.333333333333334,2,3,11,3.6666666666666665,28,9.333333333333334,0,3,0
12429,आश्चर्यजनक,10,1,30,30.0,7,3,0,0.0,0,0.0,2,5,0
12430,अजीबोग़रीब,10,1,30,30.0,5,5,0,0.0,0,0.0,0,4,0
12431,अजीबोगरीब,9,1,30,30.0,5,4,0,0.0,0,0.0,0,5,0
12432,आश्चर्यभूत,10,1,30,30.0,6,4,0,0.0,0,0.0,2,4,0
12433,हैरतंगेज,8,1,30,30.0,5,3,0,0.0,0,0.0,0,4,0
12434,हैरतअंगेज,9,1,30,30.0,5,4,0,0.0,0,0.0,0,4,0
12435,अभूतपूर्व,9,2,33,16.5,5,4,0,0.0,0,0.0,1,4,0
12436,अनभो,4,1,9,9.0,2,2,8,8.0,0,0.0,0,2,0
12437,अलौकिक,6,3,51,17.0,3,3,0,0.0,0,0.0,0,3,0
12438,असंसारी,7,2,53,26.5,3,4,0,0.0,0,0.0,0,4,0
12439,उजूबा,5,1,1,1.0,2,3,10,10.0,0,0.0,0,3,0
12440,विस्मयकारी,10,1,16,16.0,6,4,0,0.0,0,0.0,1,5,0
12441,विस्मयजनक,9,1,16,16.0,7,2,0,0.0,0,0.0,1,5,0
12442,कुतूहलजनक,9,1,16,16.0,7,2,0,0.0,0,0.0,0,6,0
12443,जिज्ञासाजनक,11,1,16,16.0,7,4,0,0.0,0,0.0,1,5,0
12444,विस्मयकारक,10,1,16,16.0,7,3,0,0.0,0,0.0,1,5,0
12445,अनागत,5,1,1,1.0,3,2,2,2.0,0,0.0,0,3,0
