id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
13333,प्रेयसी,7,1,20,20.0,4,3,31,31.0,1,1.0,1,3,1
13334,प्रेमिका,8,1,20,20.0,4,4,31,31.0,1,1.0,1,4,1
13335,दीवानी,6,3,27,9.0,3,3,50,16.666666666666668,1,0.3333333333333333,0,3,0
13336,प्रिया,6,1,20,20.0,3,3,31,31.0,1,1.0,1,3,1
13337,सजनी,4,1,20,20.0,3,1,31,31.0,1,1.0,0,2,1
13338,सजनिया,6,1,20,20.0,4,2,31,31.0,1,1.0,0,4,1
13339,माशूका,6,1,20,20.0,3,3,31,31.0,1,1.0,0,3,1
13340,दिलरुबा,7,3,46,15.333333333333334,4,3,49,16.333333333333332,3,1.0,0,4,0
13341,दिलबर,5,2,45,22.5,4,1,38,19.0,3,1.5,0,3,0
13342,जानाँ,5,1,20,20.0,2,3,31,31.0,1,1.0,0,2,0
13343,वल्लभा,6,1,20,20.0,4,2,31,31.0,1,1.0,1,2,0
13344,साक़ी,5,2,22,11.0,2,3,46,23.0,3,1.5,0,2,1
13345,साकी,4,3,26,8.666666666666666,2,2,66,22.0,3,1.0,0,2,1
13346,साकिया,6,1,20,20.0,3,3,31,31.0,1,1.0,0,3,0
13347,इष्टा,5,2,24,12.0,2,3,37,18.5,1,0.5,1,2,1
